Time;Command;Communication;Healthcare;Accommodation;Dining;Recreation;Periphery;Maintenance;Waste;ElecLoadVehicles;H2LoadVehicles;DieselLoadVehicles;CH4LoadVehicles;Elec_Central;PV;Solar_Thermal;Wind;Heating_Central;Cooling_Central
2025-01-01 00:00;load;load;load;load;load;load;load;load;load;load;Massflow;Massflow;Massflow;load;Generation;Generation;Generation;load;load
s;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;kg/h;kg/h;kg/h;MW;MW;MW;MW;MW;MW
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
4514400;0.2133364919832258;0.2369300925464332;0.2731138164718519;0.5861007623010953;0.6253036461645727;0.04822611990167546;0.15709100016566863;0.0932970315969367;0.1752313960094881;0.02978237682491016;2.163494360425528;7.596144315194523;12.47750378262242;2.4086303571409475;0.0;0.0;0.0019850000000000002;0.42098599999999997;0.0
4518000;0.29168844653874154;0.22722235756997297;0.38985944709655274;0.21613460972318788;0.45620394888347526;0.02711484270238822;0.1475426879514543;0.1197003378098763;0.18421782938459796;0.027332613118047435;2.392480517971293;7.902984560323871;12.299075016833596;2.059684507660247;0.0;0.0;0.001279;0.438831;0.0
4521600;0.29280745297266025;0.22193065040514692;0.3940927819058546;0.12755655245150682;0.4738483567086557;0.01917146793308379;0.1396929721043914;0.13948608253147232;0.18064641679472213;0.029928449306878012;2.2339223949569673;7.9193829893094065;12.684508299223701;1.989232733807494;2.76e-06;7.805297421423845e-06;0.003095;0.45003;0.0
4525200;0.326906147955817;0.2091536765414146;0.4298232262330156;0.09861794875363161;0.41647573223483164;0.01368666922483406;0.12954119076312412;0.13882652448019706;0.19894160131537786;0.029154597023898384;2.2222988616672996;7.4353510000720675;11.231938529748025;1.9619727175022437;1.6513999999999998e-05;4.6701696238186e-05;0.004834;0.451657;0.0
4528800;0.366786206839409;0.2068326487921318;0.477005946315506;0.10391109270991705;0.514518307364613;0.02125979917482185;0.11981480519204415;0.13555466930103022;0.18572987438013308;0.02632642726485833;2.286609089810945;8.427806848169773;12.858767254061808;2.131413350069606;3.483e-05;9.849945985079439e-05;0.006785;0.442535;0.0
4532400;0.3264910355965792;0.2171114884130827;0.4651242294346772;0.14233805013976727;0.5554909581886934;0.021068811474388043;0.13221445050200245;0.14318340096185078;0.1769241883551963;0.027302986695802316;2.579700738245766;7.9886483996101;12.557792113602458;2.1799466130662375;8.2524e-05;0.00023337839290057296;0.009354;0.42624900000000004;0.0
4536000;0.32151838436184293;0.22775825772652636;0.4769931950377561;0.14122473742413988;0.5927376253845427;0.02275948161677062;0.14295508010877891;0.1437202373963663;0.19546137708697656;0.030032866368817874;2.301071290497971;7.814886266336093;11.239778392769722;2.2651283761437004;0.000127271;0.0003599231913485631;0.010817;0.410285;0.0
4539600;0.2984061521058232;0.27031713053832296;0.44864505801943727;0.1684676887353521;0.48656303062389006;0.01932224516463357;0.15600738962450647;0.1373975686399046;0.19270931460243065;0.029882223003178263;2.3602901717256675;7.2901225404630905;12.21849549793315;2.1778355780543004;0.000141152;0.0003991787469669632;0.013095;0.394173;0.0
4543200;0.3282482318403022;0.23853575007130623;0.447795620655429;0.13835688287530057;0.38212582947532403;0.024033778061724114;0.14964503525853687;0.13830841513777192;0.16815999310111546;0.025773294624415063;2.4295485989753596;7.137000214588632;11.915854325352038;2.01520953647681;0.000130535;0.0003691538039512904;0.013861;0.376938;0.0
4546800;0.32034020842440386;0.22858517530929995;0.5094060119668441;0.1311297383653346;0.41144978396571935;0.03830393495273393;0.13571274540279307;0.15182124172511605;0.1889106915994388;0.031043384758477167;2.1890936101786114;7.614851941879364;12.788889909130862;2.115659531711684;0.00010372;0.0002933208146920584;0.013061;0.36425;0.0
4550400;0.2929319987345638;0.19385988842435783;0.36011133901085324;0.13947434354580304;0.45108222356335637;0.05215259599393194;0.11782133256720653;0.12320184274079483;0.19556075207260876;0.030200500529424294;2.380389236281012;7.416475841799089;11.554655202526398;1.9261963166534763;6.2368e-05;0.00017637709767368202;0.013525;0.362152;0.0
4554000;0.2682863878697559;0.22576717696136497;0.37557342108407454;0.17838450361834762;0.565682611254384;0.05736454514680033;0.11773134271552346;0.1169755181093195;0.19375061712235334;0.02657280923408998;2.268936764351724;7.234073987437643;12.292806221132428;2.0995161238819238;1.4696e-05;4.156038076276986e-05;0.018209;0.378363;0.0
4557600;0.22500126616769947;0.20831407970050672;0.3265202619306299;0.2291900039874008;0.5925884232133872;0.09734680914364986;0.13791501999738628;0.09584716599843078;0.17614804754642083;0.0273116349703117;2.49212723998772;7.1148187879584235;13.270340545014376;2.088871077685512;0.0;0.0;0.031399;0.408926;0.0
4561200;0.20523044197467968;0.20628117886468061;0.3032364320610927;0.4728934469112589;0.5903706298225897;0.10167987592340876;0.12458861433580858;0.0947613341133829;0.1927090835423126;0.02734273325150197;2.415127178770132;7.645409914503092;11.127573130896165;2.291751037549214;0.0;0.0;0.041462000000000006;0.41324;0.0
4564800;0.12719332380773207;0.24016646884985146;0.19856497515933694;0.5557723482670704;0.4916597776485822;0.08723188201031312;0.12506905285696276;0.0645640241479098;0.1667713946401513;0.030748381962691407;2.229181485950207;8.160759298770635;11.66546032051051;2.05699324738791;0.0;0.0;0.046762;0.390286;0.0
4568400;0.10680805875043344;0.24418680794516548;0.14836188438888637;0.49733056544038656;0.2440402905454875;0.07851343974691123;0.12893929468367868;0.04741913753208224;0.17521616642353652;0.029425457104756646;2.2491918289428003;8.324700471313552;12.46639201650815;1.6708156454565681;0.0;0.0;0.049369;0.373828;0.0
4572000;0.06453578247525328;0.2366058110687404;0.09746213109401511;0.3152797749343266;0.056546587144086884;0.037898061364367346;0.12789004238550714;0.02825313665592772;0.14148293488143446;0.030604326266419096;2.212683338198098;8.033649412368694;11.179020192143394;1.1059542620036589;0.0;0.0;0.048357;0.37779199999999996;0.0
